Direccion Adresse
Aplicación Anwendung
Arroba Am-Schild
Bateria Batterie
Navegador Browser
Boton Taste
Cache Zwischenspeicher
Conversacion Gespräch
Clic Klicken
Portapapeles Zwischenablage
Codigo Code
Ordenador Computer
Informatica Computer
Conectar Verbinden
bloquearse Block
Cursor Mauszeiger
Ciberespacio Cyberspace
Datos Daten
Borrar Löschen
Escritorio Schreibtisch
Desarrollador Entwickler
Digital Digital
Disco Scheibe
Dominio Domain
Punto Stelle
Descargar Entladung
Arrastrar Ziehen
monitor Monitor
correo Email
ingeniero Ingenieur
Ejecutar Ausführen
Archivo Archiv
Carpeta Datei
Piratear Hacken
Auriculares Kopfhörer
Hipervinculo Hyperlink
Icono Symbol
Instalar Installieren
Interactivo Interaktiv
Internet Internet
Objeto Objekt
Tecla Schlüssel
Teclado Teclado
Portatil Laptop
Enlace Verknüpfung
Buzon Briefkasten
Memoria Erinnerung
Menu Speisekarte
Mensaje Nachricht
Microfono Mikrofon
Modem Modem
Mouse Maus
Red Netz
Contraseña Passwort
Imprimir Stampa
Impresora Drucker
Privacidad Privatsphäre
Precesador Prozessor
Reiniciar Neustarten
Router Router
Guardar Halten
Escaner Scanner
Pantalla Bildschirm
Servidor Server
Software Software
Teléfono Telefon
Altavoces Lautsprecher
Asunto Affäre
Pestaña Wimper
Etiquetar Etikett
Encender Licht
Apagar Ausschalten
Actualizar Aktualisieren
Cargar Tragen
Usuario Benutzer
Virus Virus
Wifi W-lan
Ventana Fenster
Inalambrico Kabellos
Programa Programm
Smartphone Smartphone
Hardware Hardware
