Direccion indirizzo
Aplicacion Application
Arroba Arobase
Bateria Batterie
Navegador Navigateur
Boton Bouton
Cache Caches
Conversacion Conversation
Codigo Code
Ordenador Ordinateur
Informatica L'informatique
Conectar Connecter
Bloquearse bloc
Ciberespacio Cyberespace
Datos Donnees
Borrar Supprimer
Escritorio bureau
Desarrollador Developpeur
Digital Numerique
Disco Disque
Dominio Domaine
Punto Place
Descargar Decharge
Arrastrar Trainer
monitor moniteur
ingeniero ingenieur
Ejecutar Executer
Archivo Archive
Carpeta Dossier
Piratear Pirater
Auriculares Ecouteurs
Icono Icone
Instalar Installer
Interactivo Interactif
Internet l'Internet
Objeto Objet
Tecla Cle
Teclado Clavier
Enlace Lien
Memoria Mémoire
Menu Menu
Mensaje message
Microfono Microphone
Modem Modem
Mouse Souris
Red Grille
Imprimir Imprimer
Impresora Imprimante
Privacidad confidentialite
Precesador Processeur
Reiniciar Redemarrage
Router Routeur
Guardar sauvegarder
Escaner Scanner
Pantalla Ecran
Servidor Serveur
Software Logiciel
Telefono Telephone
Altavoces Haut-parleurs
Asunto Affaire
Pestaña Cil
Etiquetar Etiquette
Encender Allumer
Apagar Eteindre
Cargar Porter
Usuario Utilisateur
Virus Virus
Wifi Wifi
Ventana Fenetre
Inalambrico Sans-fil
Programa programme
Hardware material
