Direccion indirizzo
Aplicacion Applicazione
Arroba A-segno
Bateria Batteria
Navegador Navigatore
Boton Pulsante
Cache Caches
Conversacion Conversazione
Clic Clic
Portapapeles Appunti
Codigo Codice
Ordenador Computer
Informatica Informatica
Conectar Collegare
bloquearse rimanere-bloccato
Cursor Il-Cursore
Ciberespacio Cyberspazio
Datos Dati
Base de
datos Banca-dati
Borrar Eliminare
Escritorio Scrivania
Desarrollador Sviluppatore
Digital Digitale
Disco Disco
Dominio Dominior
Punto Macchiare
Descargar Scarico
Arrastrar Lagna
Correo e-mail
Ingeniero ingegnere
Ejecutar Eseguire
Archivo Archivio
Carpeta File
Piratear Hack
Auriculares Auricular
Icono Iconas
Instalar Installare
Interactivo Interattivo
Internet Internet
Objeto Oggetto
Tecla Chiave
Teclado Tastiera
Portatil Computer-portatile
Enlace Collegamento
Memoria Memoriasa
Menu Meniu
Mensaje Messaggio
Microfono Microfon
Modem Modems
Mouse Topo
Red Griglia
Imprimir Stampa
Impresora Stampante
Privacidad Privacy
Precesador Processore
Reiniciar Ricomincia
Router Routers
Guardar Mantenere
Escaner Scanner
Pantalla Schermo
Servidor server
Software Softwarei
Telefono Telefon
Altavoces Altoparlanti
Asunto Affare
Pestaña Ciglio
Etiquetar Etichetta
Encender Leggero
Apagar Per-disattivare
Actualizar Aggiornamento
Cargar Trasportare
Usuario Utente
Virus Vyrus
Wifi Wi-fi
Ventana Finestra
Inalambrico senza-fili
Programa programma
Smartphone smartphoner
Hardware hardwarer
