Direccion Address
Aplicacion App
Bateria Battery
Navegador Browser
Boton Button
Cache Caches
Conversación Chat
Clic Click
Portapapeles Clipboard
Codigo Code
Ordenador Computer
Informatica Computing
Conectar Connect
bloquearse block
Cursor Cursor
Ciberespacio Cyberspace
Datos Data
Base de
datos Database
Borrar Delete
Escritorio Desktop
Desarrollador Developer
Digital Digital
Disco Disk
Dominio Domain
Punto Dot
Descargar Download
Arrastrar Drag
monitor monitor
Correo email
Ingeniero engineer
Ejecutar Execute
Archivo File
Carpeta Folder
Piratear Hacking
Auriculares Headphones
Hipervinculo Hyperlink
Icono Icon
Instalar Install
Interactivo Interactive
Internet Internet
Objeto Item
Llave Key
Teclado Keyboard
Portatil Laptop
Enlace Link
Buzon Mailbox
Memoria Memory
Menu Menu
Mensaje Message
Microfono Microphone
Módem Modem
Mouse Mouse
Red Network
Sistema System
Contraseña Password
Imprimir Print
Impresora Printer
Privacidad Privacy
Precesador Processor
Reiniciar Reset
Router Router
Guardar Save
Escáner Scanner
Pantalla Screen
Servidor Server
Software Software
Telefono Phone
Altavoces Speakers
Asunto ubject
Pestaña Tab
Etiquetar Tag
Actualizar Update
Cargar Upload
Usuario User
Virus Virus
Wifi Wi-Fi
Ventana Window
Inalambrico Wireless
Programa program
Smartphone smartphone
Hardware hardware
Ruler Ruler
House House
Mesa Table
Zapato Shoes
Coca Pepsi
Cortina Curtain
Real Sapo
